epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.381,3.17573,3.1825,3.63109,0.90679,0.40489,0.51937,0.23193,2.04001,1.99405,2.85152,0.000552902,0.000552902,0.000552902
2,207.893,1.8346,1.73293,2.33452,0.88257,0.44022,0.61206,0.3828,1.45158,1.53734,2.00385,0.00108113,0.00108113,0.00108113
3,306.789,1.66599,1.34461,1.96853,0.6462,0.76199,0.69005,0.43735,1.3466,1.03763,1.7502,0.00158186,0.00158186,0.00158186
4,403.112,1.57203,1.19616,1.83833,0.61999,0.74639,0.69198,0.43457,1.27905,0.93898,1.7347,0.00154323,0.00154323,0.00154323
5,498.239,1.49795,1.0762,1.74873,0.72374,0.73529,0.76141,0.47293,1.301,0.84482,1.70331,0.00150197,0.00150197,0.00150197
6,594.269,1.46997,1.04482,1.72294,0.79449,0.76797,0.78884,0.47833,1.26371,0.84207,1.61961,0.00146071,0.00146071,0.00146071
7,693.332,1.38838,0.98072,1.65432,0.70946,0.78544,0.78356,0.48966,1.26182,0.79158,1.62829,0.00141945,0.00141945,0.00141945
8,788.861,1.38849,0.95449,1.63646,0.69513,0.75218,0.76708,0.45696,1.31976,0.78645,1.69817,0.00137819,0.00137819,0.00137819
9,884.149,1.32136,0.9049,1.59782,0.63249,0.83333,0.73297,0.47197,1.22589,0.82169,1.57146,0.00133693,0.00133693,0.00133693
10,982.533,1.32374,0.91263,1.58924,0.71364,0.81975,0.77889,0.51647,1.19253,0.71831,1.56638,0.00129568,0.00129568,0.00129568
